model	metric	value
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	nDCG	0.00444138665957632
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Recall	0.0013194618317935245
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	Precision	0.010795454545454546
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	HR	0.0928030303030303
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	F1	0.0019191280310723712
VSM_sim=cosine_up=tfidf_ip=tfidf_load=ItemAttributes	MAP	0.009316565957190957
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	nDCG	0.012685091415442058
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	Recall	0.0034255497077416894
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	Precision	0.025236742424242422
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	HR	0.19270833333333334
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	F1	0.005001721542417471
AttributeItemKNN_nn=50_sim=cosine_bin=False_load=ItemAttributes	MAP	0.02695434629028379
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	nDCG	0.28410380736750385
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Recall	0.060930322999409654
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	Precision	0.390530303030303
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	HR	0.8129734848484849
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	F1	0.09322601839172939
AttributeUserKNN_nn=50_sim=cosine_profile=binary_bin=False_load=ItemAttributes	MAP	0.4352184794372294
EASER_neighborhood=50_l2_norm=1000$0	nDCG	0.028100618653958232
EASER_neighborhood=50_l2_norm=1000$0	Recall	0.006763759297718816
EASER_neighborhood=50_l2_norm=1000$0	Precision	0.05317234848484848
EASER_neighborhood=50_l2_norm=1000$0	HR	0.3527462121212121
EASER_neighborhood=50_l2_norm=1000$0	F1	0.01060919967190758
EASER_neighborhood=50_l2_norm=1000$0	MAP	0.050354399651274646
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	nDCG	0.3992314594979013
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	Recall	0.09760864624252016
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	Precision	0.4884943181818181
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	HR	0.9256628787878788
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	F1	0.137341433111202
RP3beta_neighborhood=50_alpha=1$0_beta=0$5_normalize_similarity=True	MAP	0.5579236749939875
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	nDCG	0.363443788241864
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Recall	0.08930923659909676
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Precision	0.48759469696969704
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	HR	0.9024621212121212
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	F1	0.13117437932624024
ItemKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	MAP	0.5435006876803753
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	nDCG	0.35328468745181835
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Recall	0.08503324919528026
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	Precision	0.45
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	HR	0.8551136363636364
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	F1	0.12089821531897933
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	MAP	0.5071572307900434
MostPop	nDCG	0.2883235635480342
MostPop	Recall	0.06944821559655494
MostPop	Precision	0.40374053030303025
MostPop	HR	0.8484848484848485
MostPop	F1	0.10341238629523902
MostPop	MAP	0.4589132583273209
Random_seed=42	nDCG	0.005225303576863035
Random_seed=42	Recall	0.0012663629280869643
Random_seed=42	Precision	0.011505681818181818
Random_seed=42	HR	0.10511363636363637
Random_seed=42	F1	0.002104209386063592
Random_seed=42	MAP	0.011332690746753245
